company_name_1,company_name_2,person_name,position
中國石油化工,国务院国有资产监督管理委员会,"张玉卓,马永生,陈月明,时欢,王丽丽,吴献东,余夕志,张玉清,赵东,熊维平,邱发森","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事会主席"
中國石油天然氣,国务院国有资产监督管理委员会,"戴厚良,章建华,黄龙,刘国胜,李毓华,王久玲,汪世宏,章建华,杜渊泉,仇凯","董事长,总经理,董事,董事,董事,董事,董事,董事,监事会主席,监事"
中國建築,中国建筑工程总公司,"中国中化集团公司,宝钢集团有限公司,中国石油天然气集团公司,周乃翔,贾谌,杨春锦,余海龙,郑昌泓,郑学选,郜烈阳,李剑波,卢彦斌,宁望楚,王小生,张旭,张海峰,杨晓东,周圣,米翔,王肇武,王瑾,龙卫国,张峻铭","董事长,独立董事,独立董事,独立董事,独立董事,董事,监事会主席,监事,监事,监事"
中國平安保險,马明哲,"谢永林,蔡方方,储一昀,葛明,刘崇,刘宏,李源祥,欧阳辉,任汇川,莫丽霞","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事"
上海汽車,陈虹,"金麒,李乐平,李国明",总经理
中國工商銀行,中央汇金投资有限责任公司,"陈四清,谷澍,胡祖六,梁定邦,沈思,杨绍信,曹利群,冯卫东,廖林,申丹,徐国荣,张鑫,陈虹,尹冰,祝刚刚,刘俊恒,张新潮,徐莉,华昌庚","董事长,副董事长,独立董事,独立董事,独立董事,独立董事,独立董事,董事,董事,董事"
中國中鐵,中国铁路工程集团有限公司,"陈云,陈文健,郭培章,闻宝满,郑清智,马宗林,王士奇,章献,张宗言,钟瑞明,张润文,卢勃,郑联伟,吴俊,张海彬,李顺平,王伟,杨宗林,黄天德,龙明华","董事长,总经理,独立董事,独立董事,独立董事,董事,董事,董事,董事,董事"
中國移動,国务院国有资产监督管理委员会,"杨杰,董昕,陈旭,车尚轮,贾谌,王炳华,王宇航,郑杰,左群声,董树奎,周舟,刘昕,刘耕,徐海勇,刘正利,刘扶建,耿龙元,李吉福,刘坚,李胜","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事会主席"
中國鐵建,中国铁道建筑总公司,"汪建平,庄尚标,承文,路小蔷,王化成,辛定华,陈大洋,葛付兴,刘汝臣,杜水波,金守华,孟文林,琚建明,刘虎军,陆晓辉,金守华","董事长,总经理,董事,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,监事会主席"
中國建設銀行,中央汇金投资有限责任公司,"国家电网公司,中国长江电力股份有限公司,中国建银投资有限责任公司,田国立,刘桂平,冯婉眉,麦卡锡,钟嘉年,冯冰,田博,郭威位,李惠珠,杨国宁,方江伟,王玉,牛媛媛,刘乃华,吕蕾,杨耀","董事长,经理,副董事长,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,董事"
中國人壽保險,王滨,"梁爱诗,汤欣,张祖同,利明光,刘慧敏,苏恒轩,王军辉,徐海峰,尹兆君,姜百钱,秦毅,陈奕伶,苏鸿燕,杨天航,康建新,孙连璐,张小刚,马冲,姚丽君","董事长,独立董事,独立董事,独立董事,董事,董事,董事,董事,董事,董事"
中國農業銀行,中央汇金投资有限责任公司,"中华人民共和国财政部,谷澍,张青松,高美懿,黄振中,刘守英,王欣新,肖星,廖路明,李奇云,李蔚,杨楠,李晗梦,郑忠庄,苏丹丹,杨仕伟,班兰,任卓,周小梅,张兰","董事长,副董事长,独立董事,独立董事,独立董事,独立董事,独立董事,董事,董事,董事"
中國銀行,中國銀行,None,None
中國人民保險,罗熹,"王廷科,程玉琴,陈武朝,高永文,林义相,李祝用,陆健瑜,苗福生,邵善波","董事长,副董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事"
中國交通建設,中国交通建设集团有限公司,"王彤宙,王海怀,黄龙,刘茂勋,刘翔,魏伟峰,郑昌泓,赵喜安,王永彬,姚彦敏,安爱军,黄腊泉,郑鹏武,杨发克,彭亮星,孙立强,黄腊泉,卢静,齐文忠,赵天法","董事长,总经理,董事,董事,董事,董事,董事,董事,监事会主席,监事,监事"
中國恆大,中國恆大,None,None
京東商城電子商務,京東商城電子商務,None,None
中國中信,朱鹤新,"奚国华,奚国华,李庆萍,刘祝余,彭艳祥,蒲坚,宋康乐,王斌,于洋","董事长,总经理,副董事长,董事,董事,董事,董事,董事,董事,董事"
碧桂園控股,碧桂園控股,None,None
中國電信,国务院国有资产监督管理委员会,"柯瑞文,李正茂,陈月明,段洪义,李跃,邵广禄,孙玉德,王用生,向兵,国一民,卢利宾,刘建新,董波,张旭,刘鹏,钟霞,马军旗,傅兴旺,赵文杰,潘永辉","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事会主席"
聯想控股,中国科学院国有资产经营有限责任公司,"北京联持志远管理咨询中心(有限合伙),中国泛海控股集团有限公司,北京联恒永信投资中心(有限合伙),柳传志,朱立南,宁旻,黄少康,唐旭东,陈绍鹏,宁旻,郝荃,马蔚华,印建安,李蓬,索继栓,杨建华,赵令欢,朱立南,高强","董事长,独立董事,独立董事,独立董事,董事,董事,董事,董事,董事,监事会主席"
中國太平洋保險,孔庆伟,"傅帆,黄迪南,JOHN ROBERT DACEY,陈继忠,陈然,胡家骠,姜旭平,梁红,林婷懿","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,董事,董事"
綠地控股,绿地控股集团股份有限公司,"张玉良,孙童,张蕴,王朔妤,薛明辉,罗晓华,陆新畲,黄敏康,许敬,许松涛,冯富根,徐荣璞,丁钟森,张常青","董事长,董事,董事,监事"
阿里巴巴,淘宝(中国)软件有限公司,"浙江天猫技术有限公司,戴珊,蒋芳,张彧,冯云乐,陈文,陈文,陈文,陈文,陈文,陈文,陈文,陈文,陈文,陈文","董事长兼总经理,董事,董事,监事"
國藥控股,国药产业投资有限公司,"中国医药集团总公司,于清明,刘勇,陈方若,陈启宇,邓金栋,冯蓉丽,关晓晖,胡建伟,李培育,李智明,龚琼","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,董事"
海航科技,海航科技,None,None
騰訊控股,騰訊控股,None,None
寶山鋼鐵,中国宝武钢铁集团有限公司,"邹继新,盛更红,白彦春,侯安贵,罗建川,陆雄文,田雍,谢荣,姚林龙,张克华,杨成领,郭小龙,李永祥,李忆杰,陆向东,庞远林,楼定波,蒋立诚,彭俊","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,董事"
物產中大,王挺革,"宋宏炯,张波,贲圣林,顾国达,林伟青,沈建林,宋宏炯,谢伟鸣,徐方根","董事长,总经理,副董事长,董事,董事,董事,董事,董事,董事,董事"
萬科企業,郁亮,"祝九胜,黄力平,胡国斌,康典,李强强,刘姝威,王海武,吴嘉宁,辛杰,汪洋,吴启贵","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,董事"
中國電力建設,丁焰章,"马宗林,林石洪,潘继录,刘明江,钟艺谋,张建文,张建文,王忠禄,郝元麟","董事长,总经理"
中國聯合網路通信,石荣强,,负责人
中國冶金科工,中国冶金科工集团有限公司,"宝钢集团有限公司,国文清,吴嘉宁,任旭东,闫爱中,余海龙,张孟星,周纪昌,尹似松,褚志奇,张雁镝,宋占江,杨林贵,胡中兴","董事长,独立董事,董事,董事,董事,经理,董事,董事,监事会主席,监事,监事"
廈門建發,罗华斌,,法定代表人
中國神華能源,国家能源投资集团有限责任公司,"王祥喜,杨吉平,白重恩,陈汉文,袁国强,贾晋中,王兴中,许明军,杨吉平,杨荣明,刘定军,周平平,张小亮,何成江,刘宏荣,穆元军,张利君,任满翊,王灿利,李雪","董事长,总经理,独立董事,独立董事,独立董事,董事,董事,董事,董事,董事"
美的,美的控股有限公司,"融睿股权投资(珠海)合伙企业(有限合伙),方洪波,天津鼎晖嘉泰股权投资合伙企业(有限合伙),黄健,袁利群,黄晓明,栗建伟,方洪波,HAN JIAN,YU GANG,管清友,顾炎民,何剑锋,薛云奎,殷必彤,朱凤涛,董文涛","董事长兼总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事会主席"
中國郵政儲蓄銀行,中国邮政集团有限公司,"张金良,胡湘,潘英丽,温铁军,钟瑞明,丁向明,傅廷美,郭新双,韩文博,刘尧功,徐莉君,孙爽,李元,周兰玲,黑来苏丹,张文娟,鞠英杰,张立彬,陈忠兵,吴玉兰","董事长,独立董事,独立董事,独立董事,独立董事,董事,董事,经理,董事,董事,董事"
招商銀行,缪建民,"田惠宇,付刚峰,洪小源,梁锦松,李孟刚,刘建军,刘俏,罗胜,苏敏,黄家平,张新元,李文彦,刘彬,柏丽,蔺葆菁,李明辉,黄慧子,刘恩莉,王俊","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,董事"
蘇寧易購,张近东,"陈金凤,赵蓓,金明,钟金顺,陈世清,丁遥,黄明端,任峻,曹群,陈振宇,方先明,刘鹏,柳世平,冼汉迪,张康阳,华志松,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑,吴丁剑","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,监事"
廈門象嶼,廈門象嶼,None,None
中國海洋石油,中國海洋石油,None,None
中國能源建設,中國能源建設,None,None
中國中車,中國中車,None,None
中國建材,中國建材,None,None
江西銅業,江西銅業,None,None
交通銀行,交通銀行,None,None
廈門國貿,廈門國貿,None,None
珠海格力電器,珠海格力電器,None,None
保利發展控股,保利發展控股,None,None
青島海爾,青島海爾,None,None
中國太平保險控股,中國太平保險控股,None,None
中國鋁業,中國鋁業,None,None
小米,小米,None,None
上海浦東發展銀行,上海浦東發展銀行,None,None
上海建工,上海建工,None,None
華能國際電力,華能國際電力,None,None
廣匯汽車服務,廣匯汽車服務,None,None
兗州煤業,兗州煤業,None,None
華潤醫藥,華潤醫藥,None,None
濰柴動力,濰柴動力,None,None
上海醫藥,上海醫藥,None,None
興業銀行,興業銀行,None,None
中國民生銀行,中國民生銀行,None,None
新華人壽保險,新華人壽保險,None,None
北京汽車,北京汽車,None,None
萬洲國際,萬洲國際,None,None
