公司代號,公司名稱,稅後淨利
1102,亞洲水泥股份有限公司,1371559
1101,台灣水泥股份有限公司,1999624
1104,環球水泥股份有限公司,183441
1108,幸福水泥股份有限公司,63869
1103,嘉新水泥股份有限公司,59637
1110,東南水泥股份有限公司,61097
1109,信大水泥股份有限公司,35090
1256,鮮活控股股份有限公司,45783
1232,大統益股份有限公司,212608
1227,佳格食品股份有限公司,699669
1231,聯華食品工業股份有限公司,111496
1233,天仁茶業股份有限公司,68672
1216,統一企業股份有限公司,5739800
1702,南僑投資控股股份有限公司,148329
1236,宏亞食品股份有限公司,62845
1201,味全食品工業股份有限公司,247114
1210,大成長城企業股份有限公司,291215
1203,味王股份有限公司,120200
1215,台灣卜蜂企業股份有限公司,68825
1229,聯華實業投資控股股份有限公司,229649
1234,黑松股份有限公司,102664
1213,大西洋飲料股份有限公司,8902
1737,臺鹽實業股份有限公司,42111
1225,福懋油脂股份有限公司,24293
1220,台榮產業股份有限公司,32045
1217,愛之味股份有限公司,12780
1218,泰山企業股份有限公司,16976
1219,福壽實業股份有限公司,23887
1235,興泰實業股份有限公司,27712
1326,台灣化學纖維股份有限公司,8533076
1337,亞洲塑膠再生資源控股有限公司,230132
1301,台灣塑膠工業股份有限公司,5500227
1303,南亞塑膠工業股份有限公司,6938975
1305,華夏海灣塑膠股份有限公司,352668
4306,炎洲股份有限公司,362962
1323,永裕塑膠工業股份有限公司,65827
1307,三芳化學工業股份有限公司,220310
1308,亞洲聚合股份有限公司,130712
1304,台灣聚合化學品股份有限公司,629931
1325,恒大股份有限公司,25156
1324,地球綜合工業股份有限公司,14079
1312,國喬石油化學股份有限公司,217806
1309,台達化學工業股份有限公司,52361
1313,聯成化學科技股份有限公司,169177
1310,台灣苯乙烯工業股份有限公司,25820
1315,達新工業股份有限公司,4765
1321,大洋塑膠工業股份有限公司,1384
1340,勝悅新材料有限公司,291243
1314,中國石油化學工業開發(股)公司,294532
1341,富林塑膠工業(開曼)控股(股)公司,457447
1476,儒鴻企業股份有限公司,591523
1477,聚陽實業股份有限公司,386318
1473,台南企業股份有限公司,86912
4426,利勤實業股份有限公司,51851
1447,力鵬企業股份有限公司,346586
1402,遠東新世紀股份有限公司,3567095
1451,年興紡織股份有限公司,148884
4414,如興股份有限公司,20308
1467,南緯實業股份有限公司,42111
1434,福懋興業股份有限公司,525971
1455,集盛實業股份有限公司,161128
1452,宏益纖維工業股份有限公司,29317
1440,臺南紡織股份有限公司,332155
1466,聚隆纖維股份有限公司,20189
1410,南洋染整股份有限公司,19526
1444,力麗企業股份有限公司,199992
1460,宏遠興業股份有限公司,75161
1414,東和紡織股份有限公司,32362
1465,偉全實業股份有限公司,12926
1445,大宇紡織股份有限公司,17549
1423,利華羊毛工業股份有限公司,21160
1409,新光合成纖維股份有限公司,307862
1446,宏和精密紡織股份有限公司,12310
1470,大統新創股份有限公司,7274
1441,大東紡織股份有限公司,5823
1474,弘裕企業股份有限公司,6892
1439,中和羊毛工業股份有限公司,2636
1454,台灣富綢纖維股份有限公司,2053
1464,得力實業股份有限公司,446
1457,宜進實業股份有限公司,2554
1419,新光紡織股份有限公司,113453
1459,聯發紡織纖維股份有限公司,31297
1463,強盛染整股份有限公司,58674
1417,嘉裕股份有限公司,16629
4438,廣越企業股份有限公司,140147
1413,宏洲纖維工業股份有限公司,7489
1472,三洋實業股份有限公司,83386
1468,昶和纖維興業股份有限公司,8329
4439,冠星集團控股有限公司,259225
1449,佳和實業股份有限公司,57279
4440,宜新實業股份有限公司,173675
1475,台灣業旺股份有限公司,18848
1558,伸興工業股份有限公司,143743
1537,廣隆光電科技股份有限公司,184443
1590,亞德客國際集團,263342
1535,中宇環保工程股份有限公司,177078
1527,鑽全實業股份有限公司,197637
1583,程泰機械股份有限公司,147436
1589,永冠能源科技集團有限公司,84577
1560,中國砂輪企業股份有限公司,117546
1507,永大機電工業股份有限公司,338042
2049,上銀科技股份有限公司,176407
1530,亞崴機電股份有限公司,71530
3167,大量科技股份有限公司,44781
8996,高力熱處理工業股份有限公司,45897
1503,士林電機廠股份有限公司,286220
1531,高林股份有限公司,93431
1532,勤美股份有限公司,335353
1504,東元電機股份有限公司,866177
1539,巨庭機械股份有限公司,29460
1540,喬福機械工業股份有限公司,32850
4532,瑞智精密股份有限公司,222508
1517,利奇機械工業股份有限公司,63101
1513,中興電工機械股份有限公司,109528
1526,日馳企業股份有限公司,9351
1597,直得科技股份有限公司,9539
1528,恩德科技股份有限公司,21604
1514,亞力電機股份有限公司,29044
4526,東台精機股份有限公司,38447
1515,力山工業股份有限公司,10961
1519,華城電機股份有限公司,12602
8374,羅昇企業股份有限公司,20669
1541,錩泰工業股份有限公司,15149
4555,台灣氣立股份有限公司,352699
5288,開曼商豐祥控股股份有限公司,318675
8222,寶一科技股份有限公司,40499
2371,大同股份有限公司,884571
1538,正峰工業股份有限公司,24158
1506,正道工業股份有限公司,6856
4552,力達控股有限公司,758945
4560,強信機械科技股份有限公司,183782
4540,全球傳動科技股份有限公司,98249
4562,穎漢科技股份有限公司,79735
4566,時碩工業股份有限公司,110794
4564,元翎精密工業股份有限公司,189876
1529,樂士股份有限公司,17599
4572,駐龍精密機械股份有限公司,150002
4571,鈞興機電國際股份有限公司,169767
4576,大銀微系統股份有限公司,129645
1626,艾美特(開曼)國際有限公司,262750
1608,華榮電線電纜股份有限公司,237413
1616,億泰電線電纜股份有限公司,59398
1604,聲寶股份有限公司,124514
1611,中國電器股份有限公司,76406
1617,榮星電線工業股份有限公司,16920
1615,大山電線電纜股份有限公司,8195
1612,宏泰電工股份有限公司,20976
1614,台灣三洋電機股份有限公司,19290
1609,大亞電線電纜股份有限公司,27730
1603,中華電線電纜股份有限公司,12030
4930,燦星網通股份有限公司,43850
1618,合機電線電纜股份有限公司,4042
1605,華新麗華股份有限公司,189218
5283,禾聯碩股份有限公司,69638
1722,台灣肥料股份有限公司,2257059
1723,中鋼碳素化學股份有限公司,530189
1726,永記造漆工業股份有限公司,319340
1773,勝一化工股份有限公司,137876
1708,東南實業股份有限公司,158100
1718,中國人造纖維股份有限公司,1263843
1724,台硝股份有限公司,66536
4722,國精化學股份有限公司,35299
1712,興農股份有限公司,140520
1730,花仙子企業股份有限公司,23021
1717,長興材料工業股份有限公司,266331
1710,東聯化學股份有限公司,229687
1709,和益化學工業股份有限公司,117709
1727,臺灣中華化學工業股份有限公司,22863
1711,臺灣永光化學工業股份有限公司,71900
4720,德淵企業股份有限公司,10422
1714,和桐化學股份有限公司,92815
1735,日勝化工股份有限公司,253
1725,元禎企業股份有限公司,18277
1713,國泰化工廠股份有限公司,11987
1721,三晃股份有限公司,4473
1732,毛寶股份有限公司,1557
4755,三福化工股份有限公司,88401
1776,展宇科技材料股份有限公司,34203
4739,康普材料科技股份有限公司,11796
4763,濟南大自然新材料股份有限公司,79591
4764,雙鍵化工股份有限公司,260138
3708,上緯國際投資控股股份有限公司,3534
4766,南寶樹脂化學工廠股份有限公司,1391063
1707,葡萄王生技股份有限公司,233452
1733,五鼎生物技術股份有限公司,125925
4119,旭富製藥科技股份有限公司,53600
1734,杏輝藥品工業股份有限公司,156732
1720,生達化學製藥股份有限公司,119333
3705,永信國際投資控股股份有限公司,142827
1762,中化合成生技股份有限公司,41769
1789,台灣神隆股份有限公司,350164
1795,美時化學製藥股份有限公司,29483
4106,雃博股份有限公司,44398
4104,佳醫健康事業股份有限公司,64503
4737,華廣生技股份有限公司,20378
4133,亞諾法生技股份有限公司,24870
1736,喬山健康科技股份有限公司,80303
3164,景岳生物科技股份有限公司,21216
1786,科妍生物科技股份有限公司,7207
1731,美吾華股份有限公司,22165
1701,中國化學製藥股份有限公司,43497
4108,懷特生技新藥股份有限公司,7854
4164,承業生醫投資控股股份有限公司,4090
4155,訊映光電股份有限公司,82587
1598,岱宇國際股份有限公司,8597
1760,寶齡富錦生技股份有限公司,602
1783,和康生物科技股份有限公司,152
4137,麗豐股份有限公司,508314
4141,龍燈環球農業科技有限公司,58360
4190,佐登妮絲集團股份有限公司,267204
4746,台耀化學股份有限公司,55809
6491,晶碩光學股份有限公司,68962
4148,全宇生技控股有限公司,68639
6666,羅麗芬控股股份有限公司,84665
4142,國光生物科技股份有限公司,1197264
1810,和成欣業股份有限公司,17951
1817,凱撒衛浴股份有限公司,74438
1809,中國製釉股份有限公司,37024
1806,冠軍建材股份有限公司,63033
1802,台灣玻璃工業股份有限公司,379944
1904,正隆股份有限公司,360894
1909,榮成紙業股份有限公司,213811
1907,永豐餘投資控股股份有限公司,171833
1906,寶隆國際股份有限公司,27138
1905,中華紙漿股份有限公司,11677
6790,永豐餘消費品實業股份有限公司,179900
1903,士林紙業股份有限公司,97871
2008,高興昌鋼鐵股份有限公司,613576
3004,豐達科技股份有限公司(原宏達),50070
5007,三星科技股份有限公司,207480
2015,豐興鋼鐵股份有限公司,417314
2013,中國鋼鐵結構股份有限公司,137493
2029,盛餘股份有限公司,189748
2034,允強實業股份有限公司,196540
9958,世紀鋼鐵結構股份有限公司,73852
2031,新光鋼鐵股份有限公司,142168
2006,東和鋼鐵企業股份有限公司,509193
2022,聚亨企業股份有限公司,235888
2020,美亞鋼管廠股份有限公司,86016
2014,中鴻鋼鐵股份有限公司,405851
2002,中國鋼鐵股份有限公司,4877566
2023,燁輝企業股份有限公司,316384
2032,新鋼工業股份有限公司,25802
2027,大成不銹鋼工業股份有限公司,126821
2010,春源鋼鐵工業股份有限公司,95828
2012,春雨工廠股份有限公司,51624
2030,彰源企業股份有限公司,35340
2017,官田鋼鐵股份有限公司,57516
2024,志聯工業股份有限公司,7589
2038,海光企業股份有限公司,11978
2009,第一伸銅科技股份有限公司,17675
2033,佳大世界股份有限公司,301
5538,開曼東明控股股份有限公司,134079
2025,千興不銹鋼(股)公司,53747
2069,運錩鋼鐵股份有限公司,37699
2028,威致鋼鐵工業股份有限公司,11959
2007,燁興企業股份有限公司,15041
2211,長榮鋼鐵股份有限公司,1310339
2114,鑫永銓股份有限公司,114477
2105,正新橡膠工業股份有限公司,4272521
2106,建大工業股份有限公司,769089
2103,台橡股份有限公司,730497
2107,厚生股份有限公司,241187
2102,泰豐輪胎股份有限公司,186433
2108,南帝化學工業股份有限公司,153571
2104,國際中橡投資控股股份有限公司,200511
2109,華豐橡膠工業股份有限公司,74300
2101,南港輪胎股份有限公司,46825
6582,申豐特用應材股份有限公司,767162
2227,裕隆日產汽車股份有限公司,1280846
2207,和泰汽車股份有限公司,2325658
6605,帝寶工業股份有限公司,388898
2233,宇隆科技股份有限公司,56818
2231,為升電裝工業股份有限公司,79178
1339,昭輝實業股份有限公司,70210
2201,裕隆汽車製造股份有限公司,1319163
1338,廣華控股有限公司,51008
1521,大億交通工業製造股份有限公司,54379
1525,江申工業股份有限公司,49001
1536,和大工業股份有限公司,109448
1319,東陽實業廠股份有限公司,334919
1533,車王電子股份有限公司,35597
2204,中華汽車工業股份有限公司,498057
2497,怡利電子工業股份有限公司,38496
1522,堤維西交通工業股份有限公司,126977
1524,耿鼎企業股份有限公司,3825
2206,三陽工業股份有限公司,8630
2228,劍麟股份有限公司,163799
4551,智伸科技股份有限公司,103661
3346,麗清科技股份有限公司,50197
1587,吉茂精密股份有限公司,30634
1568,倉佑實業股份有限公司,21480
6288,聯嘉光電股份有限公司,28691
2115,六暉控股股份有限公司,73300
2236,百達精密工業股份有限公司,265134
4557,永新控股股份有限公司,152238
1592,英瑞國際股份有限公司,397592
2239,開曼英利工業股份有限公司,1141819
2241,艾姆勒車電股份有限公司,15666
2243,宏旭控股股份有限公司,109939
2247,汎德永業汽車股份有限公司,1135655
4581,World Known MFG(Cayman)Limited,110713
2250,第一化成控股(開曼)股份有限公司,118624
2454,聯發科技股份有限公司,3735766
